name,byte_theory,byte_os,byte_encoded,ratio_theory,ratio_os
R_1_E_0_S_24_B_93.pt,135790592,135792303,54331542.25,0.5998872863740075,0.5998923278442373
R_0_E_0_S_10_B_105.pt,29381632,29383798,16940678.75,0.42342621573913936,0.4234687173523314
R_1_E_0_S_48_B_109.pt,29362176,29364278,15413287.75,0.47506316459652037,0.4751007414519097
R_1_E_0_S_24_B_9.pt,29362176,29364264,16346609,0.443276649523523,0.4433162363613132
R_0_E_0_S_16_B_16.pt,135790592,135792303,70083692.75,0.4838840326287111,0.4838905357544455
R_1_E_0_S_35_B_15.pt,29381632,29383791,12888766.5,0.561332518901605,0.5613647503822771
R_1_E_0_S_39_B_121.pt,135790592,135792310,52202046.5,0.6155694902633608,0.6155743539527385
R_0_E_0_S_51_B_96.pt,135790592,135792303,62729972.25,0.5380388926355075,0.5380447134032331
R_0_E_0_S_37_B_94.pt,29362176,29364271,16762787.5,0.42910268298916265,0.42914341377655857
R_1_E_0_S_45_B_69.pt,29362176,29364271,16173063.5,0.4491871617416911,0.44922645959778806
